,system:index,AC_AREA,CLEAR_SCORE,COVERAGE_SCORE,DATE,DGO_FID,MEAN_AC_NDVI,MEAN_AC_NDWI,MEAN_NDVI,MEAN_NDWI,MEAN_VEGETATION_NDVI,MEAN_VEGETATION_NDWI,MEAN_WATER_NDWI,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,.geo
0,000000000000000001b9,556.0,35.0,100.0,2018-08-01,17,0.1395218952410357,-0.1402494456751862,0.5195162136893001,-0.5024042899541397,0.5528487240403529,-0.5320859274333503,-0.1401090579036729,20124.0,4937.1094302913225,556.0,389.9302377520029,
1,000000000000000001bd,513.0,100.0,100.0,2018-08-14,17,0.1714079288252766,-0.1966872281381182,0.5522974923849653,-0.5250467913895133,0.6287683686884955,-0.5930963358374706,-0.1790255369366047,18045.0,6016.913790678016,218.0,395.9283231248414,
2,000000000000000001c9,1014.0,100.0,100.0,2018-09-15,17,0.1837353454584327,-0.2177460682514423,0.4917613568107412,-0.4817702900889937,0.5787490278134991,-0.5563282140342919,-0.1909247466915193,16834.0,6454.834780356189,70.0,167.96945513687487,
3,000000000000000001df,10396.0,31.0,100.0,2018-12-23,17,0.1192092640366372,0.0077239614332786,0.2778743277968041,-0.1826783156680522,0.4552027174130076,-0.3974164030090132,-0.0213617114793706,9685.0,7468.650604872229,12872.0,5764.9586400153285,
4,000000000000000001f1,2301.0,18.0,100.0,2019-02-19,17,0.0997059565095008,-0.0103235758377138,0.2201920731332021,-0.1540243162833623,0.3575222404210593,-0.3175369537391477,-0.0299561347604522,1727.0,1415.741895437498,2676.0,1265.7692991951983,
5,000000000000000001f7,5868.0,100.0,100.0,2019-03-19,17,0.1542769556628086,-0.2018917612028964,0.3259704591345417,-0.3714455563937681,0.4456103009193634,-0.4876694277559541,-0.1777859929685105,11587.0,7030.732144816594,2543.0,3431.381046079777,
6,000000000000000001fb,7080.0,80.0,100.0,2019-04-08,17,0.1407556667240175,-0.1547478733067005,0.2904111304898183,-0.3137766247264841,0.417850838297595,-0.4405804357984367,-0.1440824869706534,9904.0,5650.979851944051,6029.0,3551.3587414287954,
7,000000000000000001ff,2228.0,27.0,100.0,2019-04-26,17,0.1314624170496663,-0.1209741842020222,0.2938229813012997,-0.2728085854980157,0.4163140832814121,-0.3841372624415534,-0.1192724293681857,3301.0,2063.6240954827445,2201.0,1259.7706556274836,
8,00000000000000000206,4674.0,0.0,100.0,2019-05-26,17,0.1737343638382314,-0.1838825409933017,0.2685130144199563,-0.2808374656273962,0.3504082493154784,-0.3610068963349713,-0.178893166357818,7145.0,4235.237531968753,3856.0,1727.6890178747062,
9,00000000000000000208,14112.0,17.0,100.0,2019-06-05,17,0.0904451615923022,-0.2686607385761037,0.2219631304389244,-0.325525788283132,0.4986817953750975,-0.4642762312688904,-0.1325727452980327,6559.0,1913.6575220226057,3064.0,1793.6770110260738,
10,0000000000000000020a,570.0,100.0,100.0,2019-06-13,17,0.1738475510967023,-0.2126830339397601,0.5388184925497862,-0.5060183417984314,0.6060433087994185,-0.5627491358665566,-0.1854594521990388,18302.0,6424.840127942949,117.0,221.95942350512885,
11,00000000000000000221,525.0,78.0,100.0,2019-08-26,17,0.1853298235754108,-0.2211456244857643,0.5078106826353652,-0.4868380791327371,0.5880250307953906,-0.5532672600470318,-0.1886197262738917,13691.0,5213.060047210288,56.0,107.98035182124345,
12,0000000000000000022b,3035.0,100.0,100.0,2019-10-16,17,0.164917557326743,-0.1893812233633237,0.4555088071030679,-0.4490315636127318,0.5594306839706831,-0.5410333797368626,-0.1750481752595848,15891.0,6472.830966687042,1929.0,2417.5650855083186,
13,0000000000000000023c,15719.0,10.0,100.0,2020-02-03,17,0.0139743493923851,-0.0439312056214117,0.018318343570786,-0.048627964840809,0.3661652541998094,-0.418937614422415,-0.0422813153198654,43.0,143.9740680049168,15582.0,2261.594302372443,
14,00000000000000000243,7632.0,100.0,100.0,2020-03-15,17,0.1358057422285079,-0.1656184755305222,0.3005847191875643,-0.3362532440771504,0.4445295390543126,-0.4803502010536135,-0.1534808207801067,10248.0,5429.020174220696,6423.0,3641.342351806898,
15,00000000000000000248,7870.0,100.0,100.0,2020-04-08,17,0.1460090042375106,-0.1758798344003621,0.3144717179945084,-0.3486151381675448,0.4703536110606738,-0.5030931404416177,-0.1629509295322979,10326.0,5087.081522192915,6230.0,3401.385606917661,
16,0000000000000000024b,4283.0,40.0,100.0,2020-04-15,17,0.117840485186566,-0.1481850329927415,0.2623520105090119,-0.2730118674072759,0.4106109605548292,-0.4012031240124035,-0.1431142905541909,4218.0,2765.496572785157,4015.0,1907.6530934956124,
17,0000000000000000024d,8034.0,100.0,100.0,2020-04-25,17,0.135259136235336,-0.1756801276676434,0.3132112169249509,-0.3322289354212161,0.4715604910546675,-0.4641509468891657,-0.158841146993023,10513.0,5596.989740781223,6020.0,3371.3911910388038,
18,00000000000000000253,4898.0,100.0,100.0,2020-05-14,17,0.1646253977353141,-0.1636587723593543,0.4136160757684455,-0.3929320387395453,0.5294201907043179,-0.4976958364778513,-0.1583381468710306,14727.0,6208.878479958551,4479.0,3293.4054991967423,
19,00000000000000000258,4964.0,100.0,100.0,2020-06-14,17,0.1453702688878006,-0.1572388134087049,0.4886241823666813,-0.4674889915554401,0.6330378637269941,-0.5968807096373724,-0.1513646411832518,15402.0,5896.935492479501,4589.0,2849.485940097309,
20,0000000000000000026c,3769.0,100.0,100.0,2020-08-21,17,0.1692081534259003,-0.1832661326932621,0.5080216248375119,-0.4608692618948143,0.6385777180256546,-0.5685035828332826,-0.1800806569415219,15780.0,6202.879692190645,3341.0,3245.414088045812,
21,0000000000000000026d,4152.0,100.0,100.0,2020-08-26,17,0.1611754770252761,-0.1751472504794493,0.4972280117411507,-0.4695222649322269,0.6263056525372823,-0.5823058742295253,-0.1717835525164005,15821.0,5788.954949583358,3785.0,2621.5263436349783,
22,0000000000000000026f,4578.0,100.0,100.0,2020-09-05,17,0.1474569857728616,-0.1751455607995387,0.4995319667105433,-0.48516192793292,0.6392492090226659,-0.6077907185475963,-0.1599298143310376,15668.0,6328.857054821782,3344.0,3125.4362563555687,
23,00000000000000000277,6671.0,100.0,100.0,2020-10-07,17,0.085514980109605,-0.1015462940652546,0.4134524911282905,-0.4064977227725446,0.58007138638908,-0.560581005324455,-0.0960461748314103,14461.0,5590.990688573739,6381.0,3011.4561101034496,
24,0000000000000000027b,791.0,55.0,100.0,2020-10-16,17,0.1796122704967775,-0.2249622286590582,0.4999921737957963,-0.5019149503667154,0.5725788104515921,-0.5655758538855025,-0.1856797186236805,17646.0,5656.979613535763,43.0,107.9806725188667,
25,0000000000000000027c,5233.0,100.0,100.0,2020-10-21,17,0.1492325033917142,-0.1693956992110588,0.42689099912568,-0.4331579815933135,0.5543658230590258,-0.5541621522130431,-0.1619547664783408,14854.0,5674.975732610837,4486.0,3077.443493748491,
26,0000000000000000027d,5551.0,100.0,100.0,2020-10-21,17,0.1447568613869725,-0.1605843069842007,0.4369271673074812,-0.4356250611116192,0.5725791552225818,-0.5634268913470939,-0.1539639686094128,14880.0,5770.958376926511,5058.0,3143.4314634732154,
27,0000000000000000027e,5225.0,100.0,100.0,2020-10-21,17,0.1494050724947268,-0.1624947447198761,0.4378198589071526,-0.431751283315856,0.5672351884107535,-0.5529402532964024,-0.1571514784923622,15025.0,5806.951880253994,4882.0,3191.422836784884,
28,00000000000000000280,919.0,31.0,100.0,2020-10-27,17,0.1834304154868191,-0.1660358088549777,0.3606283034412139,-0.352006232312103,0.4184641642197012,-0.4093602472387416,-0.1732913711030551,11704.0,3995.281453825959,1464.0,1571.718977858845,
29,00000000000000000281,8383.0,93.0,100.0,2020-10-27,17,0.1122835366611023,-0.1083958191999409,0.2421190830200603,-0.2375068769183413,0.3547150989176397,-0.3462416531335676,-0.1081339846263232,8947.0,5135.073094626606,8379.0,2639.523535241098,
30,00000000000000000282,3378.0,100.0,100.0,2020-11-02,17,0.1432365473022376,-0.1901184091227748,0.4472931105535476,-0.4575499232877548,0.5206051645157969,-0.5200006458367109,-0.1647575593234473,17747.0,4823.130992131567,1930.0,1931.653714032729,
