,system:index,AC_AREA,CLEAR_SCORE,COVERAGE_SCORE,DATE,DGO_FID,MEAN_AC_NDVI,MEAN_AC_NDWI,MEAN_NDVI,MEAN_NDWI,MEAN_VEGETATION_NDVI,MEAN_VEGETATION_NDWI,MEAN_WATER_NDWI,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,.geo
0,00000000000000000018,0.0,0.0,100.0,2018-09-24,23,,,,,,,,0.0,0.0,0.0,0.0,
1,00000000000000000015,0.0,1.0,100.0,2018-07-27,23,,,0.7635038393994271,-0.6965562553068888,0.7635917899388021,-0.6966234649851881,,285.0,296.45586765919484,0.0,0.0,
2,00000000000000000016,0.0,8.0,100.0,2018-09-03,23,,,0.7125561419517844,-0.6747153996302313,0.7125853141964295,-0.6747311608239855,,2469.0,793.9390280222472,0.0,0.0,
3,00000000000000000025,0.0,0.0,85.0,2018-12-29,23,,,0.4154422829285411,-0.4719376461852774,0.4151865494872546,-0.4717594200104142,,215.0,231.72056227181903,0.0,0.0,
4,00000000000000000037,0.0,78.0,87.0,2019-04-22,23,,,0.4256318359317644,-0.4607785568599599,0.4256001167218544,-0.4607532259458492,,21364.0,2027.9145287072688,0.0,0.0,
5,00000000000000000038,0.0,78.0,100.0,2019-04-22,23,,,0.4239718184933304,-0.4728662915417446,0.4239566149444674,-0.4728572335713852,,23321.0,2244.0387309451826,0.0,0.0,
6,00000000000000000056,0.0,4.0,65.0,2020-10-24,23,,,0.6018731577335267,-0.6466799048826343,0.6018024081630178,-0.6466255845161973,,967.0,475.91090402012094,0.0,0.0,
7,00000000000000000057,0.0,4.0,100.0,2020-10-29,23,,,0.4890514778596156,-0.5179282803635427,0.4890820004365829,-0.5179632061032998,,8077.0,1262.4071249724552,0.0,0.0,
8,00000000000000000058,0.0,0.0,100.0,2020-10-29,23,,,0.4723386888101988,-0.5165164300853099,0.4723373934534174,-0.5165213601355351,,28791.0,2772.483318297541,0.0,0.0,
9,00000000000000000068,0.0,41.0,100.0,2021-06-19,23,,,0.6032294201873453,-0.5921168710892358,0.6032266235247102,-0.592114758131362,,28791.0,2772.483318297541,0.0,0.0,
10,0000000000000000007b,0.0,0.0,100.0,2022-04-30,23,,,0.3635996664154915,-0.4177795800803705,0.3619349265764469,-0.4132058559904392,,14.0,46.567101114698126,0.0,0.0,
11,0000000000000000008b,0.0,55.0,100.0,2023-12-22,23,,,0.5553411633261366,-0.6318206328568428,0.5553252779512327,-0.6318104684066788,,28791.0,2772.483318297541,0.0,0.0,
12,0000000000000000000d,1589.0,53.0,100.0,2018-05-03,23,0.1781364952796454,-0.2133300765230494,0.4569916176175894,-0.4516493511438428,0.4577694411775909,-0.4523367246008941,-0.2218034693764847,26277.0,2677.736367398198,2593.0,2114.2710728451893,
13,0000000000000000000e,0.0,27.0,100.0,2018-05-24,23,,,0.5623496009209143,-0.5306113948201349,0.5623257993291615,-0.5305935564950895,,8296.0,1491.9215898826674,4.0,38.48743840389306,
14,00000000000000000013,179.0,74.0,86.0,2018-07-22,23,0.1833658392963531,-0.2326104969570864,0.5493089938608694,-0.5345069378761321,0.5492952644509816,-0.5345000130250522,-0.233135773685584,18536.0,1892.3913186097388,245.0,506.7319403914138,
15,00000000000000000030,6833.0,15.0,100.0,2019-02-28,23,0.1552641022838876,-0.2323973366887074,0.3319747343244347,-0.3987223584824503,0.350673370407043,-0.4166102404809044,-0.2166154933261489,26405.0,6004.209060479326,4556.0,4021.807572175275,
16,00000000000000000040,1498.0,60.0,100.0,2019-07-04,23,0.1727094357461976,-0.2504582295025171,0.4656387908709874,-0.4990629806146137,0.4668477189342637,-0.5000990452742908,-0.2371429352096163,17684.0,2503.3750019411877,696.0,725.1941786477721,
17,0000000000000000005b,4763.0,83.0,100.0,2020-11-21,23,0.1632198337272706,-0.2232551412602918,0.3645117876637919,-0.4154348936018004,0.3767282419812106,-0.4272556021239299,-0.218143152764339,22837.0,4047.95292556118,4231.0,3119.6097761238543,
18,0000000000000000006f,2071.0,36.0,100.0,2021-09-29,23,0.1624099103653672,-0.2144196569385527,0.4180332096969509,-0.4327886458858642,0.4304044381443265,-0.4435910685682692,-0.2131340811143645,11393.0,2447.0007477451336,2071.0,1640.936051762048,
19,00000000000000000072,61.0,2.0,100.0,2021-10-18,23,0.1744464321204687,-0.2303436381924688,0.3434553304297504,-0.3715411714170182,0.3429447677946393,-0.3710678970250308,-0.2256227939683663,727.0,429.3645116744343,57.0,146.1411804340528,
20,0000000000000000007c,2455.0,64.0,100.0,2022-07-02,23,0.1703576572243661,-0.2288774334598365,0.4950244817891753,-0.4926357247804436,0.4980362077764143,-0.4950950342645604,-0.2268331729101716,18510.0,2586.229729998528,2322.0,1717.7061401892863,
21,0000000000000000007e,1012.0,59.0,100.0,2022-10-02,23,0.1778267800318523,-0.2146265052894295,0.5150781442616245,-0.5110492317882686,0.5154369555218197,-0.511389417914587,-0.2176095486256644,19917.0,2175.580022503701,1400.0,1708.1328747111868,
22,00000000000000000085,2858.0,78.0,100.0,2023-08-11,23,0.1697836367862663,-0.2121084136354648,0.4946085498201487,-0.4860551991173548,0.5020357076844185,-0.4923645170764886,-0.2171832183122656,22309.0,2779.380439669723,3450.0,2309.803424684839,
23,00000000000000000087,0.0,0.0,100.0,2023-09-04,23,,,0.4124769067326737,-0.4050180890325705,0.4124786981935493,-0.4050151236511711,-0.2395492912632674,28791.0,2772.483318297541,400.0,316.5538175263753,
24,00000000000000000088,920.0,84.0,100.0,2023-09-19,23,0.1709077189436781,-0.221285699619587,0.4483879539549061,-0.4567163141412247,0.450199750145527,-0.4582559806294066,-0.2202712151580126,28630.0,3047.2928904760147,982.0,1117.35427818698,
25,0000000000000000008a,3.0,0.0,63.0,2023-10-27,23,,,0.3453621072660752,-0.3761291534511104,0.3446138587948367,-0.375347208871108,,118.0,158.9412634662287,1.0,10.243230802539452,
26,00000000000000000089,597.0,65.0,100.0,2023-09-19,23,0.1812971151876493,-0.2365362116699946,0.448593440901823,-0.4616896896709938,0.4486611431885368,-0.4617465070875656,-0.2287977850836602,21665.0,2410.000228579015,534.0,798.2005704480576,
27,00000000000000000006,7227.0,39.0,100.0,2018-03-08,23,0.1234297759359524,-0.1755359190403182,0.3203090229974346,-0.3687234690139784,0.358266540378908,-0.4069918025270433,-0.1667317114228823,24876.0,5991.546611487402,6543.0,4265.289720921564,
28,0000000000000000003c,2304.0,85.0,100.0,2019-05-10,23,0.1725192302145846,-0.2279748308412935,0.4759996593975333,-0.4756894809887816,0.4772393003006082,-0.4767349306631289,-0.2254218172053554,24565.0,2585.413545157161,2157.0,2102.398569513177,
29,00000000000000000044,1358.0,32.0,100.0,2019-10-26,23,0.133787687204941,-0.1826870520467423,0.4723163713470857,-0.4841898795102045,0.5026177939921814,-0.5115558577558191,-0.1762153393079769,8937.0,2314.001089799769,1289.0,1139.3292458397275,
30,00000000000000000055,530.0,8.0,100.0,2020-08-20,23,0.1801398171388492,-0.245929057180932,0.3739877917494295,-0.403438447646452,0.374383574023203,-0.4037647239743729,-0.2348264688589382,2545.0,843.6720089966433,280.0,379.81959163417343,
31,0000000000000000007d,2338.0,85.0,100.0,2022-07-13,23,0.1801142168106638,-0.2384611795489454,0.5056339727089955,-0.5023420797212598,0.5058257362565234,-0.5024992237541545,-0.2308632764275337,24793.0,2422.1158295438186,1682.0,1833.488177080793,
32,00000000000000000035,1144.0,35.0,100.0,2019-04-12,23,0.1681012339106032,-0.2379920067797911,0.4541401998622259,-0.4638376716704964,0.4560165035361913,-0.4653201342162947,-0.2300378265187782,10296.0,1479.139426266956,918.0,898.7245079982423,
33,00000000000000000039,213.0,98.0,100.0,2019-04-22,23,0.1893154757987831,-0.2331093068835572,0.4232490617401245,-0.4262826093822272,0.4232455460614787,-0.4262820811433748,-0.238316787774716,28791.0,2772.483318297541,774.0,1446.997129053432,
34,00000000000000000075,1855.0,98.0,100.0,2021-11-30,23,0.1760107669718019,-0.2314012016340103,0.4387870746754435,-0.4817731863541901,0.44006388239791,-0.4829879782485251,-0.224744921451735,28662.0,2950.248587976415,1591.0,2241.0707204752443,
35,00000000000000000078,108.0,8.0,100.0,2022-01-08,23,0.1820247917706187,-0.2494758822974908,0.3705917930542551,-0.4318979820911907,0.3704430323812471,-0.4317881721876928,-0.2211600547876396,2598.0,866.5192013307856,17.0,84.10309684393168,
36,0000000000000000007a,431.0,98.0,100.0,2022-03-10,23,0.1893862614856956,-0.2568449752678986,0.3656277905811725,-0.4070237018704082,0.3656284901338832,-0.4070324492873312,-0.2351284038174054,28791.0,2772.483318297541,114.0,342.2576016864195,
37,0000000000000000000c,1761.0,95.0,100.0,2018-05-03,23,0.1727368506157839,-0.2127927634503749,0.487913006718835,-0.4735633125364052,0.4890876986182246,-0.4745423548359874,-0.219295288965213,28698.0,3029.5269632223985,2766.0,2612.0390403031706,
38,00000000000000000054,5031.0,98.0,100.0,2020-08-11,23,0.1722280880503824,-0.2536579517082322,0.466521131581482,-0.4981126011409185,0.468973011692432,-0.5001491949156389,-0.2386504741054061,28176.0,3189.3281975810505,1875.0,2107.246799900899,
39,00000000000000000073,2305.0,76.0,100.0,2021-11-02,23,0.1263471392586515,-0.1820411201911567,0.4748302242986419,-0.5193807080480687,0.4922878028767138,-0.5364804222070046,-0.1754735368926114,27552.0,3942.456741212298,2175.0,1748.2686407699027,
