,system:index,AC_AREA,COVERAGE_SCORE,DATE,DGO_FID,MEAN_AC_NDVI,MEAN_AC_NDWI,MEAN_NDVI,MEAN_NDWI,MEAN_VEGETATION_NDVI,MEAN_VEGETATION_NDWI,MEAN_WATER_NDWI,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,.geo
0,00000000000000000020,0.0,100.0,2021-05-02,26,,,0.5334048883676988,-0.6107526126798523,0.5334518602766185,-0.6107900766899759,,15552.0,1883.0595834881408,0.0,0.0,
1,00000000000000000014,719.0,100.0,2021-04-01,26,0.1714396897560409,-0.3069605148222208,0.4471008845193286,-0.5711694496615245,0.4473254260986855,-0.571380119618327,,46984.0,3574.230554922325,0.0,0.0,
2,00000000000000000015,410.0,100.0,2021-04-03,26,0.1826602835810362,-0.3041587020178861,0.4503534693288911,-0.564480044806951,0.4503682860996695,-0.5644921925901139,,48411.0,3621.821991626228,0.0,0.0,
3,0000000000000000001d,318.0,100.0,2021-04-18,26,0.1761912764476944,-0.3256503041692008,0.4674220777084135,-0.5928821053510216,0.467436720316544,-0.5928958204270484,,48411.0,3621.821991626228,0.0,0.0,
4,0000000000000000002b,0.0,100.0,2021-06-13,26,,,0.5590730392083465,-0.6149861824776289,0.5590837836521328,-0.6149947203690267,,48411.0,3621.821991626228,0.0,0.0,
5,0000000000000000002e,3.0,100.0,2021-06-30,26,0.1801580839946873,-0.3043697609780197,0.5403255429543714,-0.6318920830023722,0.5403345016170351,-0.6318989873147141,,48411.0,3621.821991626228,0.0,0.0,
6,0000000000000000002f,453.0,100.0,2021-07-01,26,0.1806516930721083,-0.268859211833751,0.5271875735817908,-0.6150990911613597,0.5271981564041138,-0.6151085992567367,,48411.0,3621.821991626228,0.0,0.0,
7,00000000000000000030,0.0,100.0,2021-07-05,26,,,0.579887040610181,-0.6197550631785113,0.5798960711258379,-0.6197627052440727,,48411.0,3621.821991626228,0.0,0.0,
8,00000000000000000031,0.0,100.0,2021-07-09,26,,,0.5254866662273325,-0.5830375898558106,0.525488107576088,-0.5830381954474504,,48411.0,3621.821991626228,0.0,0.0,
9,00000000000000000032,0.0,100.0,2021-07-10,26,,,0.5536112544025735,-0.628399025329578,0.5536204162084626,-0.6284073151703132,,48411.0,3621.821991626228,0.0,0.0,
10,00000000000000000033,13.0,100.0,2021-07-11,26,0.1813466205106169,-0.2658496035232507,0.5298530557615542,-0.6140117141336622,0.5298632961384544,-0.6140208160312305,,48411.0,3621.821991626228,0.0,0.0,
