,system:index,AC_AREA,CLOUD_SCORE,COVERAGE_SCORE,DATE,DGO_FID,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,MEAN_WATER_MNDWI,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,.geo
0,00000000000000000000,356.0,99.0,101.0,2020-08-02,5,-0.0222784730655895,0.1344674693478647,-0.050469486556726,0.1872675351695208,-0.0918349873628983,0.2675566576194918,-0.0189314100890998,229.0,1667.1796950458288,335.0,982.9444790766632,
1,0000000000000000001f,522.0,99.0,101.0,2021-01-04,5,-0.0031475918225376,0.1266784119719022,-0.0023862849998621,0.1259695386434032,-0.0314420318562822,0.170854514701896,0.0152787648621145,142.0,877.9426437191743,421.0,1103.903435627875,
2,00000000000000000023,387.0,0.0,101.0,2021-01-24,5,-0.0836766005517108,0.0086096212928625,-0.1932164282911878,0.0926173580513402,-0.5062365487079491,0.3379933190059801,0.0360037847104293,143.0,1641.8475850769105,124.0,809.8320956146274,
3,00000000000000000025,406.0,0.0,101.0,2021-02-03,5,-0.1203309666122812,-0.0079898476476864,-0.1976732994746742,0.0616392574048908,-0.4744227604838257,0.3119724539014025,0.007869138963485,119.0,1574.8455304236652,45.0,398.906835793554,
4,00000000000000000026,394.0,0.0,101.0,2021-02-08,5,-0.1083164423358204,-0.0073474046935114,-0.2103230588332236,0.0761245159072499,-0.5228379383300629,0.3361732789014373,0.0245205670102264,136.0,1625.0112593073147,49.0,360.05305836354705,
5,00000000000000000028,418.0,0.0,101.0,2021-02-18,5,-0.1399394866711,0.0385607221673975,-0.2063159319185528,0.0902361909410441,-0.466455228529174,0.2952523994479328,-0.0255294787810851,123.0,1645.4072153938869,36.0,325.55308875576657,
6,00000000000000000037,381.0,0.0,101.0,2021-05-04,5,-0.0734256843026976,0.0419600877325728,-0.1520891636562687,0.1672379306201401,-0.344556859676749,0.4816748810630034,0.0534717013523408,163.0,1634.3615571239525,118.0,748.5597081610318,
7,00000000000000000039,367.0,99.0,101.0,2021-05-14,5,-0.0823652368330807,0.0714122880595774,-0.1442153807985995,0.2141122437999437,-0.2693150556240669,0.5016620144851921,0.0878511941685699,187.0,1743.5472279378005,70.0,527.6675650978076,
8,0000000000000000003a,363.0,0.0,101.0,2021-05-19,5,-0.1154228502857948,0.0679275156084795,-0.1952365600871288,0.2249713480253591,-0.3578337664345819,0.54371866284116,0.0649261421742636,184.0,1694.674136214022,39.0,283.1316896555343,
9,0000000000000000003c,354.0,99.0,101.0,2021-05-29,5,0.0023130029661995,0.1201742458627199,-0.0362687391672632,0.208624979207855,-0.0982249650018616,0.3502225594112859,0.003722895764721,218.0,1748.645175804064,365.0,976.9774325084244,
