,system:index,AC_AREA,CLOUD_SCORE,COVERAGE_SCORE,DATE,DGO_FID,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,MEAN_WATER_MNDWI,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,.geo
0,00000000000000001472,1106.0,0.0,100.0,2017-04-20,1,-0.1759403327454859,0.0732476822743057,-0.2658633193278611,0.2536433414314648,-0.4309547927428977,0.5811239078685881,-0.0029899969606678,614.0,3767.226030884976,23.0,207.3980468054534,
1,0000000000000000147f,1084.0,0.0,100.0,2017-12-16,1,-0.1642361386198785,0.0461231021154231,-0.3297973490275386,0.1822106413588269,-0.6227515510694411,0.4247645818086103,0.0019086010130749,612.0,3749.771993919413,57.0,470.6252605982888,
2,00000000000000001481,1104.0,0.0,100.0,2018-01-05,1,-0.0546581290609721,-0.0460019094010419,-0.2478461931357275,0.1029929624908789,-0.6286964425288104,0.4079607729643408,0.1260813815686519,550.0,3653.827561000838,472.0,1900.736708093321,
3,00000000000000001486,1309.0,0.0,100.0,2018-03-16,1,0.1317545817480856,0.027487260991673,0.0028013446743921,0.0969613337762624,-0.4346465567037292,0.3292175992200261,0.2523195855665635,414.0,3567.121725324643,903.0,2442.0572297417907,
4,0000000000000000148a,1269.0,0.0,100.0,2018-04-15,1,0.0957524091548514,0.0108741756997721,-0.0372380867082734,0.1091882308928045,-0.4414283620267955,0.4045414424506541,0.2053279113396724,431.0,3565.623204208378,854.0,2274.539299282784,
5,0000000000000000148b,1236.0,0.0,100.0,2018-04-20,1,-0.096618268100776,0.0087338141012629,-0.1856136119978001,0.1392545032454286,-0.4262155450937899,0.4875860057550266,0.1411980419455035,473.0,3698.324765856651,340.0,1864.534510550815,
6,0000000000000000148c,1191.0,0.0,100.0,2018-04-25,1,-0.1555402698039182,0.0507738819500948,-0.231063307960449,0.2050475716452706,-0.4021828329245121,0.5530944964354952,0.0373354899193009,534.0,3731.4320449578986,119.0,937.5556198263946,
7,0000000000000000148e,995.0,99.0,100.0,2018-05-15,1,-0.0264674672591383,0.0178560855264939,-0.1149902256374015,0.1865058581568507,-0.2287437513427074,0.3962223700136427,0.1065810581551072,795.0,3814.38478205675,430.0,1997.2165873205267,
8,0000000000000000148f,1141.0,52.0,100.0,2018-05-20,1,-0.0160538501259147,0.0722677102304712,-0.1004842137181695,0.2242282028756069,-0.2655909607062434,0.5057709706980292,0.1121195001950392,610.0,3863.8248969276183,569.0,2264.7359559480965,
9,00000000000000001490,1151.0,0.0,100.0,2018-05-25,1,-0.0853952866006857,0.0329940211246318,-0.1847250123286707,0.2135879067857229,-0.3806554048216343,0.5639543741819689,0.1157331601988247,591.0,3805.148367964961,345.0,1805.4627847022348,
10,00000000000000001493,1137.0,0.0,100.0,2018-06-29,1,-0.1622518753315846,0.0559028080459576,-0.2435494979332731,0.2300423796099079,-0.3906948784801376,0.5356417243795677,0.0694321458173483,640.0,3749.3578447451255,92.0,578.7302483168382,
11,00000000000000001496,1144.0,0.0,100.0,2018-07-14,1,-0.1729639332256936,0.0652831034740002,-0.2644673007688147,0.2318676952838209,-0.4415371735837287,0.5553342325879215,-0.0027004033791888,590.0,3836.9582421618015,30.0,256.8546345154124,
