station,riviere,b,f,DMEAN,CA_RHT,S_RHT,FR50,DMEAN_H50,L50_H50,Perm.,Ero.,x,y,Source,Q50,ID_RHT,ID_TGH,Q1,Q2,L1,L2,H1,H2,S_CARHYCE,DMEAN/H50,Lqb/Hqb,Ratio L,%RIFFLES,H50/sd profil,W_CARHYCE,Tclasse,sd profil,W50/WQb,Wspe,PatternAerial,Pattern_RMC
Sorgue_2,Sorgue du Trentin,0.107484802,0.336354929,0.034120495,106,1.6,0.16133038,0.040764404,10.07775769,3.081603333,2.132389915,810453.2208,1887364.95,ESTIMHAB,3.264,17712,K329,0.291,3.572,6.53,8.55,0.37,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Verison_1,Verison,0.331377777,0.167570988,0.13050421,290,23.7,0.646755065,0.383806741,30.50458445,3.402832245,4.444296172,836903.2207,2010371.243,ESTIMHAB,4.166,11228,,0.188,0.712,5.12,7.96,0.16,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Riou_tort_1,Riou Tort,0.219578915,0.295150051,0.314472727,51,42.5,0.194973465,1.092555976,21.2209218,1.226188749,5,585581.25,2012033.25,ESTIMHAB,0.576,105454,,0.06,0.25,3.94,5.39,0.147,0.224,NA,NA,NA,0.737177723,NA,NA,NA,NA,NA,0.737177723,11420.96747,0,NA
Riou_tort_2,Riou Tort,0.29848908,0.104912699,0.514999371,51,42.5,0.095934269,1.185765272,15.42035169,1.226188749,5,585092.8533,2010392.853,ESTIMHAB,0.576,105454,,0.06,0.25,3.86,5.91,0.291,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Eyrieux_1,Eyrieux,0.171908104,0.296710433,0.448643376,485,11.8,0.150198014,0.627923156,21.64091441,1.160355487,4.994798658,776632.0854,1985936.085,ESTIMHAB,4.393,12185,K6611,0.579,1.43,11.1875,13.06875,0.39,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Gardon_1,Gardon,0.052644793,0.180594934,0.113886955,1875,0.3,0.062349145,0.10092929,39.89044143,2.492680684,3.374035335,778129.2546,1885688.915,ESTIMHAB,10.536,17864,K286,4.103,34.717,39.08,43.73,0.85,1.25,NA,NA,NA,0.464940788,NA,NA,NA,NA,NA,0.464940788,15366.20196,0,0
Gardon_2,Gardon d ales,0.19091094,0.155488638,0.036133855,418,3,0.119211352,0.076920811,52.87636358,2.164024578,3.004384172,742103.2196,1897679.051,ESTIMHAB,2.986,16970,K562,1.018,8.168,21.14,31.46,0.34,0.47,NA,NA,NA,0.246475316,NA,NA,NA,NA,NA,0.246475316,5586.552178,0,0
Gardon_3,Gardon de St Germain,0.07853487,0.149053269,0.087698313,27,22.9,0.132590275,0.404107944,26.23113599,2,3,718194.3001,1914123.87,ESTIMHAB,0.239,15829,,0.056,0.29,5.15,5.86,0.18,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Gardon_4,Gardon de Ste Croix,0.019368668,0.19548585,0.074945455,40,14.7,0.073108958,0.229153538,30.5556718,1.851883449,3.182963644,709786.5548,1911298.284,ESTIMHAB,0.428,16103,,0.091,0.175,8.63,8.74,0.22,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Renaison_1,Renaison,0.176386651,0.36917879,0.14677436,57,16.7,0.289897705,0.743535083,25.25453637,1,4.30854522,719328.1862,2117211.626,ESTIMHAB,0.397,229245,,0.292,0.824,4.761,5.717,0.18,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Cotatay_1,Cotatay,0.217397297,0.311597681,0.13971137,19,48.4,0.235630915,0.920527221,17.96769635,1.07912207,4.84175586,760327.5763,2044312.361,ESTIMHAB,0.119,232693,,0.042,0.325,2.333,3.64,0.111,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Echapre_1,Echapre,0.17471531,0.382486313,0.056187803,20,37.7,0.350827423,0.572962413,29.61476176,1.179717587,4.640564827,754458.4688,2043431.469,ESTIMHAB,0.098,232670,,0.0063,0.315,1.925,3.813,0.043,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Furan_1,Furan,0.102627506,0.235556956,0.126106013,31,34,0.140087195,0.534828802,21.44362752,1.012006579,4.975986842,765817.033,2044540.875,ESTIMHAB,0.254,232619,,0.035,0.653,3.757,5.073,0.13,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Ondenon_1,Ondenon,0.348414976,0.287215137,0.081177216,13,59.1,0.20452812,0.667293982,24.49656145,1.54741209,3.90517582,760014.7108,2046375.227,ESTIMHAB,0.081,232635,,0.0085,0.1203,1.256,3.162,0.064,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Semene_1,Semene,0.14575494,0.405647097,0.077197065,37,14.2,0.252667002,0.502477369,38.51725886,1,5,761883.325,2038640.875,ESTIMHAB,0.282,232848,,0.238,0.914,5.769,7.019,0.146,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Verut_1,Verut,0.184093534,0.782507452,0.125465411,5,35.1,0.058989466,0.804169388,9.006785548,1,4.593442623,755703.8678,2069469.722,ESTIMHAB,0.016,232048,,0.0093,0.0174,1.268,1.423,0.098,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Boen_1,Boen,0.06555014,0.445657658,0.009993816,13,38.6,0.155999028,0.033996218,6.464775486,1.061935241,3.006400602,715739.227,2112057.118,ESTIMHAB,0.148,229597,,0.0125,0.0743,1.525,1.714,0.108,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Gantet_1,Gantet,0.128682893,0.302277462,0.088244688,7,46.6,0.12705078,0.920790709,17.67661272,1.48813803,4.02372394,754229.869,2098840.75,ESTIMHAB,0.02,230407,,0.0067,0.1628,1.438,2.168,0.069,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Dorlay_1,Dorlay,0.099281311,0.245092543,0.398206781,25,37.1,0.112888012,1.528978537,16.74955895,1,4.957778435,775629.5249,2051991.253,ESTIMHAB,0.205,9554,,0.0467,0.5028,3.495,4.425,0.167,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Gier_1,Gier,0.137975643,0.330699703,0.116935296,53,21.6,0.207090272,0.478988911,23.66430924,1.049510181,4.900979639,770103.2196,2051318.92,ESTIMHAB,0.452,9439,J837,0.1355,2.0432,4.823,7.013,0.17,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Couzon_1,Couzon,0.094260453,0.296603432,0.135801241,34,21.6,0.146108519,0.548860035,16.86368559,1.015786012,4.968427976,779295.6205,2058207.349,ESTIMHAB,0.235,9159,,0.061,1.435,3.409,4.591,0.165,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Mare_4,Mare,0.220820541,0.255147699,0.458372654,99,8.9,0.131412184,1.527116905,18.50766673,1.019400692,4.940069151,741778.0545,2056669.867,ESTIMHAB,0.376,232353,,0.1462,0.887,4.822,7.18,0.226,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Vizezy_1,Vizezy,0.124503048,0.350852975,0.157311,54,15.1,0.187217746,0.775291812,25.10420054,1.225463559,4.569283569,730394.9689,2069894.969,ESTIMHAB,0.273,232044,,0.0955,0.891,4.352,5.747,0.148,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Curaize_1,Curaize,0.139346951,0.159159746,0.026253277,62,4.3,0.070810791,0.09109809,19.61923878,1.061322116,4.387851045,739249.7689,2066341.581,ESTIMHAB,0.194,232110,,0.0468,1.247,4.569,7.219,0.188,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Andrable_1,Andrable,0.120206849,0.145482665,0.106479729,11,35.3,0.105978096,0.639963013,17.60812698,1,5,728734.3393,2052905.598,ESTIMHAB,0.066,232460,,0.0408,0.2119,2.726,3.323,0.144,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Janet_1,Janet,0.223106991,0.391673152,0.047187887,11,89.4,0.364228606,0.375363854,11.26363939,1,3.960779653,719282.8102,2112907.002,ESTIMHAB,0.072,229373,,0.0019,0.0147,0.707,1.116,0.035,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Garon_3,Garon,0.200699928,0.42815495,0.043362773,6,124.8,0.412683705,0.465848262,11.99915363,1,3.434404865,716657.7982,2113263.227,ESTIMHAB,0.041,229371,,0.0021,0.0106,0.659,0.912,0.031,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Prolanges_1,Prolanges,0.198785417,0.105016068,0.159868462,4,119.6,0.178332851,2.047716349,13.6661127,1,5,728846.2096,2059206.064,ESTIMHAB,0.013,232328,,0.003,0.0141,0.794,1.08,0.068,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Semene_2,Semene,0.088442355,0.277633408,0.255455792,120,10.8,0.105306219,0.677339855,29.98833875,1,5,751301.6588,2034143.471,ESTIMHAB,0.864,232983,,0.5,3.2921,10.42,12.31,0.32,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
